Product #,Product Name,Quantity
5360547,"AVOCADO, HASS BREAKER STAGE 2-3 #2 GRADE WHOLE 60 COUNT BOX FRESH REF",1
4725776,"CABBAGE, RED MEDIUM FRESH REF BAG",7
7331614,"CELERY, STICK 4 FRESH REF",1
1326438,"ONION, GREEN TRIMMED ICELESS FRESH REF SCALLION",0.25
4230900,"CILANTRO, FRESH HERB",0.25
3332830,"COLESLAW MIX, SHRED CABBAGE GREEN and RED W/ CARROT SEPARATE FRESH REF",1
823021,"EGG, SHELL MEDIUM GRADE AA WHITE LOOSE PACK FRESH",0
8340978,"CREAM, WHIPPING HEAVY 40% BUTTERFAT UHT DAIRY CARTON GABLE TOP REF",12
2326411,"LETTUCE, ICEBERG FRESH REF BOX",0
5326418,"LETTUCE, ROMAINE FRESH REF",1
2326445,"SALAD MIX, MESCLUN SPRING BAG FRESH REF LETTUCE",0
1049803,"LIME, #2 GRADE 230-250 COUNT FRESH REF BULK",1.5
3264931,"MARGARINE, SALTED TUB REF WHIPPED",5
315606,"MILK, BUTTERMILK BULGARIN REF",3
761940,"MILK, WHOLE PASTEURIZED RBST FREE VITAMIN D GRADE A JUG REF HOMOGENIZED",1
5006465,"MUSHROOM, SLICED FRESH REF",0.5
3331972,"MUSHROOM, WHITE EXTRA-LARGE #1 GRADE BOX FRESH REF",1
3037330,"PEPPER, CHILI SERRANO FRESH REF",0.75
6010482,"PEPPER, JALAPENO FRESH REF",1
2739175,"SOUR CREAM, CULTURED ALL NATURAL TUB REF",3
2331353,"TOMATO, ROUND 5X6 #1 GRADE FRESH REF BULK",2
4731741,"TOMATO, GRAPE RED FRESH REF BULK",1.5
3852858,"TORTILLA, CHIP YELLOW CORN 6 SHELF STABLE RAW 4 CUT",2
3016342,"ZUCCHINI, GREEN MEDIUM FRESH REF SQUASH",1
8327249,"CHEESE, PROVOLONE LOG PLASTIC WRAPPED REF",0
3340510,"CHEESE, AMERICAN SLICED 120 COUNT TFF PROCESSED YELLOW REF",2
5332630,"CHEESE, CHEDDAR MILD SHRED FEATHER YELLOW REF",4
6419501,"CHEESE, CHEDDAR YELLOW MILD SLICED .75 OZ TWIN PACK REF",0
6432884,"CHEESE, PEPPER JACK SLICED .75 OZ TWIN PACK REF",5
2466128,"CHEESE, SWISS SLICED 120 COUNT PROCESSED REF",2
7328537,"DRESSING, BLUE CHEESE CHUNKY REF PLASTIC JAR POURABLE",1
3328713,"DRESSING, 1000 ISLAND SHELF STABLE PLASTIC JAR TRADITIONAL",1
8329062,"DRESSING, FRENCH ORANGE TFF PLASTIC JAR SHELF STABLE",2
3213469,"DRESSING, HONEY MUSTARD SWEET REF PLASTIC JAR",2
1328608,"DRESSING, COLESLAW CREAMY SHELF STABLE PLASTIC JAR",3
5328406,"DRESSING, RANCH BUTTERMILK REF PLASTIC JAR HOMESTYLE",7
8025207,"CHICKEN, GIZZARD BONELESS RAW FROZEN",4
8366296,"SURIMI, IMITATION CRABMEAT CHUNK and FLAKE COOKED FROZEN VALUE MSC DOMESTIC",6
3138880,"SAUSAGE, CHORIZO PORK GROUND RAW FROZEN",0
1017127,"HAM, BONELESS BUFFET NATURAL-JUICE HARDWOOD SMOKED COOKED REF BAG 3-DIAMOND",2
616400,"ROLL, HOAGIE WHITE 3.5 OZ 8 SLICED COOKED BAKED FROZEN BAG HEARTH SUBMARIN",10
207498,"BREAD, WHEAT BERRY 17 SLICED 11/16 LOAF FROZEN",6
