Product #,Product Name,Quantity
2633394,"BREAD, RYE MARBLE 17 SLICED 5/8 LOAF BAKED FROZEN",6
4320487,"CHILI, BEEF NO BEAN RTU TUB FROZEN",2
5602354,"APPETIZER, CHEESE MOZZARELLA BREADED ITALIAN STICK 3.25 TFF RAW FROZEN BAG",0
4182234,"APPETIZER, POTATO PEPPER CHEDDAR BREADED FROZEN SOUTHWESTERN MUNCHER",6
3041423,"CORN DOG, ALL-MEAT FROZEN",0
4328910,"HOT DOG, ALL-BEEF 5:1 6 ROLLER GRILL COOKED FROZEN",0.5
2725042,"CHICKEN, WING 1ST-and-2ND-JOINT MEDIUM RAW CVP REF UNFLAVORED",9
2720977,"CHICKEN, BREAST DOUBLE-LOBE RANDOM BONELESS SKINLESS RAW REF CVP JUMBO",1
2725661,"Chicken, Breast Double-lobe 6 Oz Boneless Skinless Ref Cvp",0.5
5314208,"BEEF, CUTLET SELECT RAW FROZEN",3
3408822,"BEEF, RIBEYE 112A 2X2 LIP-ON RAW REF VACUUM-PACK",4
4558003,"BEEF, PHILLY FLAT RAW 4 OZ FROZEN BAG SLICED SOLUTION ADDED MODERATELY",1
2571705,"BEEF, CHUCK SHOULDER CLOD CHOICE ANGUS 114 BONELESS RAW REF",0
6740178,"SHRIMP, 41-50 WHITE PEELED-and-DEVEINED TAIL-OFF RAW IQF FROZEN BAG NO-PHOS-A",3
6911663,"PANGASIUS, STRIPED 5-7 OZ FILLET PBO SKINLESS RAW IQF FROZEN FARMED SWAI",3
4661918,"SHRIMP, 16-20 WHITE PEELED-and-DEVEINED TAIL-ON RAW IMPORTED IQF FROZEN BAG F",0.4
1552124,"POTATO, FRENCH-FRY SHOESTRING 1/4 COATED CLEAR EXTRA-LONG-FANCY FROZEN",4
6083968,"POTATO, TATER NUGGET TFF PARFRIED FROZEN PUFF",4
7979586,"POTATO, SWEET FRENCH-FRY WAFFLE CUT THIN COATED FROZEN",1
6450068,"HUSH PUPPY, JALAPENO PARFRIED FROZEN BAG APPETIZER",1
1633130,"BACON,SLAB #2 CURED",0.5
2240046,"BACON, PORK END and PIECE REAL DICED .25 SMOKED CURED COOKED REF GAS FLUSHED",4
1321470,"BROWNIE, PECAN NOT ICED SHEET 1/2 24 SLICED TRAY FROZEN",0
6758940,"ICE CREAM, VANILLA BEAN 15% BUTTERFAT FROZEN PAPER TUB ALL NATURAL",1
766949,"ICE CREAM, CHOCOLATE TUB",1
843771,"TOPPING, WHIPPED NON-DAIRY ULTRA PASTEURIZED AEROSOL REF",6
9487478,"CHEESECAKE, RASPBERRY DONUT 10 14 SLICED TRAY FROZEN CAKE",2
755207,"CAKE, LAYER 2 CARROT ICED 9 14 SLICED GRANDMAS BOX FROZEN",2
31765,"CAKE, CHOCOLATE GLAZED 5 OZ SS TRAY PACK FROZEN MOLTEN",27
5182720,"BAR MIX, GRENADINE PLASTIC SHELF STABLE COCKTAIL",2
5308139,"JUICE, CLAMATO DRINK 34% ORIGINAL PET PLASTIC BOTTLE SHELF STABLE",3
4550881,"DRINK, SODA TONIC WATER CANADA DRY PET PLASTIC BOTTLE",12
4781939,"DRINK, SODA CLUB CANADA DRY PET PLASTIC BOTTLE",12
8915027,"STRAW, GIANT 7.75 BLACK UNWRAPPED STANDARD PLASTIC",18
3002128,"SALT, KOSHER NOT IODIZED GRANULATED COARSE BOX SHELF STABLE",3
3056553,"SUGAR, RAW CANE CRYSTAL BAG TURBINADO",9
2006625,"JUICE, PINEAPPLE 100% CAN SHELF STABLE",10
7221484,"JUICE, GRAPEFRUIT RUBY RED 100% PLASTIC BOTTLE SHELF STABLE",26
2327856,"JUICE, ORANGE 100% VITAMIN C ADDED ASEPTIC CARTON SHELF STABLE",0
6310726,"JUICE, CRANBERRY DRINK 27% BAR PAC MIXER PLASTIC BOTTLE SHELF STABLE",4
6033922,"BAR MIX, SWEET and SOUR LEMON SHELF STABLE COCKTAIL",2
9057316,"BAR MIX, LIME FOIL BAG SHELF STABLE COCKTAIL",11
18267,"BAR MIX, MARGARITA CONCENTRATE 7:1 PLASTIC BOTTLE SHELF STABLE COCKTAIL",4
3161452,"BAR MIX, MANGO PUREE CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",9
6948384,"BAR MIX, PEACH CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",11
6948426,"BAR MIX, PINA COLADA CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",-
7071236,"BAR MIX, STRAWBERRY CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",2
7800469,"NAPKIN, BEVERAGE WHITE 9.5X9.5 1 PLY PAPER 1/4 FOLD",1
3333705,"OLIVE, MANZANILLA GREEN STUFFED PIMIENTO 300-320 COUNT SHELF STABLE GLASS J",1.5
1205582,"STRAWBERRY, CLAMSHELL FRESH REF",4
2186153,"PINEAPPLE, GOLDEN FRESH REF",7
9357214,"ORANGE, NAVEL OR VALENCIA CHOICE 88 COUNT FRESH REF BOX",0.5
5881594,"CHERRY, MARASCHINO W/ STEM LARGE PLASTIC",1.25
8387194,"WATER, MINERAL GLASS BOTTLE",18
7804644,"CONTAINER, FOAM 9X9 1 CMPT WHITE 3.25H HINGED LID DUAL TAB OPTIONAL VENTIN",2.75
6617609,"CONTAINER, FOAM 6X6 1 CMPT WHITE 3H HINGED LID",3
6861538,"CONTAINER, PLASTIC 9 HEXAGON 1 CMPT BLACK HINGED LID CARRY-OUT",0.5
6861488,"CONTAINER, PLASTIC 7 HEXAGON 1 CMPT BLACK 3 H HINGED LID CARRY-OUT",0.5
738898,"BAG, CARRY-OUT 8 LB PAPER WHITE GROCERY",300
1310994,"BAG, FRENCH-FRY 5.5X4.5 PAPER WHITE GREASE RESISTANT",1.5
8917627,"KIT, CUTLERY SALT-and-PEPPER K-F-S NAP HEAVYWEIGHT BLACK POLYSTYRENE PLASTIC",2.5
7008703,"BAG, T-SHIRT 11.5X6.5X21 POLYETHYLENE WHITE THANK YOU STOCK PRINT 12 MIC CA",1
3136199,"SUGAR SUB, PINK SWEET and LOW 1 GR SS PACKET SACCHARIN",1
4329314,"MUSTARD, YELLOW SS POUCH",1
8568531,"MAYONNAISE, SS POUCH SHELF STABLE",1
9329384,"KETCHUP, TOMATO FANCY 33% SS FOIL PACKET SHELF STABLE",1
2835205,"BAG, FLATWARE 2.75X10 PAPER WHITE SILVERWARE",0.5
4261905,"PEPPER, JALAPENO SLICED NACHO MILD IN VINEGAR CAN SHELF STABLE",3
4352191,"SAUCE, MARINARA TOMATO CAN SHELF STABLE DELUXE",7
6329205,"BEAN, GREEN BLUE LAKE CUT 3-5 SIEVE EXTRA STANDARD CANNED",9
9329269,"TOMATO, WHOLE IN JUICE PEELED CANNED",3
9261892,"TOMATILLO, CRUSHED GREEN CANNED IMPORTED MEXICO",1
7200736,"PICKLE, DILL CRINKLE-CUT CHIP 1/8 PLASTIC SHELF STABLE",2
2353829,"FLOUR, ALL-PURPOSE",4
6329924,"SALT, TABLE IODIZED BAG",1
760827,"SPICE, PEPPER BLACK GROUND PLASTIC JUG 30M",0
8383283,"SUGAR, WHITE CANE EXTRA FINE BAG",1
8047557,"MIX, GRAVY PEPPER ADD WATER",11
3749580,"MIX, GRAVY BROWN POUCH SHELF STABLE CLASSIC",10
6326698,"ONION, YELLOW WHOLE SUPER COLOSSAL 4 1/4+ FRESH REF BAG",0.5
4326690,"ONION, RED JUMBO FRESH REF BAG",1
4289443,"POTATO, YUKON GOLD A SIZE FRESH REF",0.75
2326700,"POTATO, RUSSET IDAHO 40 COUNT FRESH REF",1
9579777,"BASE, SOUP CHICKEN FLAVOR GRANULAR PAIL SHELF STABLE",1
2228849,"BREADER, FISH SEASONED BAG",1
7501752,"KETCHUP, TOMATO FANCY 33% RED PLASTIC BOTTLE SHELF STABLE",48
190009,"KETCHUP, TOMATO FANCY 33% BAG-IN-BOX SHELF STABLE",3
7637705,"SHORTENING, FRYING RICE BRAN LIQUID CLEAR NON GMO OIL",1.5
7329113,"MAYONNAISE, EXTRA-HEAVY PLASTIC JUG SHELF STABLE",8
4364063,"MUSTARD, YELLOW PLASTIC JAR SHELF STABLE",1
3636982,"SAUCE, WORCESTERSHIRE PLASTIC JUG SHELF STABLE",1
8013625,"SAUCE, HOT RED PLASTIC JUG SHELF STABLE ORIGINAL",1
698688,"OIL, BUTTER ALTERNATIVE SOYBEAN SALTED LIQUID PLASTIC BOTTLE",1
8003956,"SAUCE, TERIYAKI GLAZE PLASTIC JUG SHELF STABLE",0
78964,"SAUCE, BBQ PLASTIC JUG SHELF STABLE ORIGINAL",2
9837196,"SAUCE, CHILI SWEET PLASTIC JUG SHELF STABLE WING",4
1328335,"VINEGAR, DISTILLED WHITE DOMESTIC 50 GRAIN PLASTIC JUG",3
9002080,"SAUCE, STEAK A-1 GLASS BOTTLE SHELF STABLE",6
3018538,"SAUCE, HOT GLASS BOTTLE SHELF STABLE ORIGINAL",16
8218208,"SAUCE, HOT LOUISIANA GLASS BOTTLE SHELF STABLE",6
5610571,"CROUTON, SEASONED CUBE SS .5X.5X.5",0.75
1177922,"CRACKER, SALTINE SALTED SHELF STABLE",0.5
7945926,"CRACKER, SALAD WAFER IW",0.5
5601679,"CHIP, POTATO SS BAG SHELF STABLE REGULAR",1
9855909,"STRAW, JUMBO 7.75 TRANSLUCENT WRAPPED PAPER STANDARD POLYPROPYLENE BOX",8
4060067,"TOOTHPICK, WOOD MINT WRAPPED",1
3605755,"TRAY, PAPER FOOD .5 LB COATED KRAFT BROWN ECOCRAFT",3
7333263,"SEASONING, FAJITA SHELF STABLE SPICE",1
6501159,"SEASONING, LEMON PEPPER PLASTIC SHAKER SHELF STABLE SPICE",2
184937,"TEA BAG, ICED BLACK ORANGE PEKOE CAFFEINATED 4 GAL YIELD FILTER-POUCH SHELF",32
9206974,"TEA BAG, ICED BLACK SWEETENED CAFFEINATED 3 GAL YIELD FILTER PACK",16
1201093,"CUP, PET PLASTIC 20 OZ SPECIAL PRINT",1.5
1637321,"LID, CUP 12-24 OZ FLAT PET PLASTIC TRANSLUCENT",2
1851438,"CUP, SOUFFLE POLYSTYRENE 3.25 OZ TRANSLUCENT PORTION PLASTIC",2
2939411,"LID, CUP SOUFFLE 3.25-4 OZ FLAT PET PLASTIC CLEAR PLASTIC COVER",1
7005226,"CONTAINER, FOAM 4 OZ SQUAT WHITE",0.5
7002041,"LID, CUP 4-6 OZ VENTED PLASTIC WHITE",1.5
6883961,"CONTAINER, FOAM 6 OZ SQUAT WHITE",0.75
1051822,"LID, BOWL VENTED 6-8 OZ ROUND PLASTIC TRANSLUCENT",1.5
8609174,"TOWEL, PAPER 9X11 PERFORATED ROLL WHITE 2 PLY 85 SHEET",0
8869828,"NAPKIN, DISPENSER INTERFOLD BROWN 7.88X6.5 PAPER 1 PLY RECYCLED",3.5
4818803,"WRAP, 12X12 WAX PAPER NATURAL FLAT PACK GREASE RESISTANT",5
511550,"LINER, BASKET 12X12 PAPER RED CHECKERED GINGHAM",5
1328699,"SHORTENING, FRYING SOYBEAN LIQUID CLEAR PLASTIC JUG SHELF STABLE OIL",10
4594181,"PAPER, 18X1100' FREEZER PAPER WHITE WRAP",0.5
4834081,"FILM, 18X2000' PLASTIC ROLL SLIDE CUTTER BOX FOOD WRAP",1
5328257,"FOIL, ALUMINUM 18X500' HEAVY-DUTY ROLL CUTTER BOX WRAP",1
6328249,"FOIL, ALUMINUM 12X1000' STANDARD ROLL CUTTER BOX WRAP",1
3328259,"WRAP, FOIL 9X10.75 INTERFOLD POP UP SHEET ALUMINUM",1
6328777,"MIX, DRESSING ITALIAN 1 GAL YIELD PACKET",12
7248339,"MIX, DRESSING RANCH 1 GAL YIELD PACKET",10
9041252,"CRACKER MEAL, CRUSHED MEDIUM BAG KRISPY SALTINE CRUMB",1
3013885,"FILTER, FRYER GREASE CONE 10 PAPER NON-WOVEN ECONOLINE",1
1504521,"LABEL, 2X3 REMOVABLE 500 ROLL IN/OUT",1
2550762,"HAIRNET, NYLON 24 BROWN LIGHTWEIGHT",1
9551578,"PICK, WOOD 4 ASSORTED COLOR FRILL",8
2330652,"FORK, DINNER WINDSOR 18/0 S/S MEDIUMWEIGHT",1
1330695,"KNIFE, STEAK 4.75 S/S PLASTIC HANDLE BLACK",2
445098,"TAPE, THERMAL CASH REGISTER WHITE 3.13X200' PAPER 1 PLY ROLL",14
4085338,"GUEST CHECK, SHRINK PACK SINGLE PAPER 3.5X6.75 PINK",22
2948859,"GRILL BRICK, 4X3.5X8 GLASS DUST SOFT WRAPPED GRIDDLE",6
2950343,"SCRUBBER, S/S 50 GR HEAVY-DUTY 400 SERIES ECONOMY",12
9075643,"SANITIZER, SURFACE FOOD CONTACT LIQUID SPRAY BOTTLE CLEAR SLIGHT SCENT K85",4
7912678,"CLEANER, GLASS K42 LIQUID SPRAY BOTTLE BLUE FLORAL SCENT",1
5341169,"CLEANER, OVEN and GRILL K13 LIQUID BOTTLE DARK ORANGE ODORLESS DEGREASER",1
7153448,"CLEANER, ALL-PURPOSE LIQUID SPRAY BOTTLE CLEAR W/ BLEACH",5
7945058,"DEGREASER, ALL-PURPOSE VP3 LIQUID JUG BLUE CLEANER",3
7886112,"GLOVE, POLY XL CLEAR STRETCH AMBIDEXTROUS",10
8362022,"DETERGENT, DISHWASHER D21 LIQUID PAIL RED ODORLESS LOW TEMP",1
8366320,"RINSE ADDITIVE, DISHWASHER D22 LIQUID PAIL GREEN HIGH SOLID",1
6365084,"SANITIZER, DISHWASHER D23 LIQUID PAIL CLEAR YELLOW LOW TEMP",1
9625922,"TOWEL, PAPER 7.88X15 CENTERPULL PERFORATED WHITE 1 PLY 320 SHEET",5
95745,"TISSUE, TOILET JUMBO ROLL 3.3X1000' N-PERF 2 PLY WHITE",7
8648164,"TOWEL, PAPER 9.5X9 MULTIFOLD BROWN 1 PLY",0
5751965,"DEODORIZER, URINAL SCREEN WAVE 3D SOLID BOX BLUE COTTON BLOSSOM SCENT",1
2950699,"MOP HEAD, CUT END #24 COTTON 4 PLY NARROW BAND NATURAL",1
7826506,"LINER, 33 GAL 33X38 BLACK 1.2 MIL CORELESS ROLL LINEAR LOW DENSITY REPROCES",4
7826290,"LINER, 60 GAL 38X58 BLACK 1.2 MIL CORELESS ROLL LINEAR LOW DENSITY REPROCES",4
4647806,"DETERGENT, DISH MANUAL LIQUID BOTTLE BLUE",2
2959917,"CLEANER, FLOOR ALL SURFACE F22 LIQUID PACKET BROWNISH RED PLEASANT SCENT",0.5
1010412,"PEPPER, BELL GRN DCD 1/4""",
2332104,"CELERY, DCD 1/4"" FRESH REF",
6326706,"POTATO, RUSET ID. 70 CT 10-13",
8602054,"CUP, PET PLST 9 Z SQT CLD CLR",
8648198,"TISSUE, TLT JMB RL 3.5"" WHITE",
1005446,"MUSHROOM, SLCD THIN FRESH REF",
7589787,"BACON, PORK RNDM CT SLCD BULK",
1117268,"CHICKEN, GZZD RAW F2F CVP",
5314802,"ROLL, WHT UNSL PARBK FZN BRD",
9372855,"TOMATO, RND 5X6 #1 GRD FRESH 2",
5010608,"CILANTRO, FRESH HERB",
8609068,"LIME, 175-200 CT FRESH REF #2",
791558,"CONTAINER, FM 4 Z SQT WHT",
6969521,"GLOVE, VINYL X-LARGE PF NTRL",
5513762,"TORTILLA, CHIP WHT CORN 6"" RAW",
6395610,"SUGAR, WHT EX FINE CANE",
5888482,"HAM, BNLS D-SHAPD NJ HW SMK 2D",
9348134,"CHICKEN, WING 1&2JT JMB RW F2F",
6366090,"PEPPER, JLP 1 1/9 BSHL FRESH",
9505647,"AVOCADO, HASS BRKER STG 2-3 #1",
760785,"SPICE, PPR BLK GRND PLST JUG",
2745578,"PLATE, FM 10.25"" 3 CMPT WHT",
6896393,"KIT, CTLY K-F-S NAP MW SLVR",
7912660,"CLEANER, OVN & GRIL K44 AERSL",
4736314,"DEODORIZER, URNL SCRN W/ BLOC",
2305118,"ASPARAGUS, GRN BNCH LG 6-11 LB",
3551421,"LEMON, FRESH REF",
1901586,"MEAT SUB, MTBL MEATL VEGAN CKD",
7355280,"AVOCADO, HASS BRKER STG 2-3 #2",
6899289,"CRAYON, 4 PK ASST",
7607237,"CUP, PLST 12Z KID SEA W/LID&ST",
