0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/4/2026,1/6/2026,1/8/2026,1/11/2026,1/14/2026,1/15/2026,1/18/2026,1/20/2026,1/22/2026,1/27/2026,1/29/2026,2/1/2016,2/3/2026,2/5/2026,2/7/2026,2/10/2026,2/12/2026,2/15/2026,2/17/2026,2/19/2026,2/22/2026,24-Feb,2/26/2026,3/1/2026,3/3/2026,3/5/2026,3/8/2026,3/10/2026,3/12/2026,3/15/2026,3/17/2026,3/19/2026,3/22/2026,3/24/2026,3/26/2026,3/29/2026,3/31/2026,4/2/2026,4/5/2026,4/7/2026,4/9/2026,4/12/2026,4/14/2026,4/16/2026,4/19/2026,4/21/2026,4/23/2026
Product #,Product Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3037330,"PEPPER, CHILI SERRANO FRESH REF",1.75,1,1,0,1,0.25,1,1,0.25,0,0.75,1,0.75,1,1,0.75,2,0.5,0.25,1.25,1,1,1,1,,1,1,1,0.25,1,0.5,1,0.5,1,1,1,1,0,1,1,,1,1,0,1,0,0
6010482,"PEPPER, JALAPENO FRESH REF",1,1,0.5,1,0,0.75,0.5,0.25,0.25,1,0.75,0.25,1,0,1,1,1.25,0.5,0.25,0.5,0,1,0.5,0.25,1,1,0.25,1,1,1,0.5,0.5,0.75,0.5,,1,1,0.75,0.5,0.25,,0.5,0.5,0.25,1,0.5,0.5
2739175,"SOUR CREAM, CULTURED ALL NATURAL TUB REF",7,6,2,6,4,7,5,5,4,5,3,0,3,5,4,3,6,2,4,7,6,4,2,4,2,5,3,1,3,2,4,6,4,2,4,3,,2,4,3,3,7,5,4,2,3,4
2331353,"TOMATO, ROUND 5X6 #1 GRADE FRESH REF BULK",1.5,1,3,1,0.5,2,1.5,2,0,2,2,0.25,2,0,1,2.5,1,2,1,0,2,1.5,,2,,1.5,0.25,2.5,,2,0.5,0.5,2,1.8,,2,2,0.75,0.5,2.5,,2,1,2.5,2,3.5,2.5
4731741,"TOMATO, GRAPE RED FRESH REF BULK",1,1,13,0.25,1,1,0.25,1,1,1.5,1.5,0.75,1.5,0.5,1,1,0.5,1,1,0.5,1,1,0.5,,1,1,0.75,0.5,1.25,1.5,1.5,0.5,1,1,1,0.5,1,1,1,0,0.5,0.25,0.25,1.5,1,1,1
3852858,"TORTILLA, CHIP YELLOW CORN 6 SHELF STABLE RAW 4 CUT",1.5,1,3,1,2,2,1,2,2,0,8,1,2,2,1,1,2,2,1,3,1,1,2,1,1,3,2,1,3,2,1,2,1,4,3,2,2,1,2,2,1,2,2,1,1,2,1
3016342,"ZUCCHINI, GREEN MEDIUM FRESH REF SQUASH",0.25,1,0.25,1,1,0.25,1,0,0.75,0,0.75,0,1,0,1,0.5,1.5,1,0.5,1,1,0.5,1,0.5,1.25,0.5,1,0.5,1.25,0.5,1,0.5,1.75,1,0.3,1,1,0.5,1,1,1,,1,1,0.5,1,0.5
8327249,"CHEESE, PROVOLONE LOG PLASTIC WRAPPED REF",1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,1,,1,1,,1,,1,1,0,0,1,0,1,1,0,1,1,0,1,1,,1,,0,1
3340510,"CHEESE, AMERICAN SLICED 120 COUNT TFF PROCESSED YELLOW REF",4,2,4,4,2,4,3,3,1,1,4,3,2,4,4,1,5,4,2,5,4,0,3,2,3,2,1,4,2,0,2,4,4,1,4,2,4,3,0,3,2,1,2,3,3,1,4
5332630,"CHEESE, CHEDDAR MILD SHRED FEATHER YELLOW REF",9,6,7,8,3,9,5,5,10,2,10,9,4,10,13,6,6,10,5,10,12,7,2,12,7,3,1,2,5,8,3,6,7,2,6,11,11,6,5,4,9,6,1,11,8,4,7
6419501,"CHEESE, CHEDDAR YELLOW MILD SLICED .75 OZ TWIN PACK REF",6,4,4,3,0,5,2,6,5,2,6,3,0,5,2,8,0,3,1,6,3,0,2,7,5,4,7,,5,0,0,3,0,5,5,0.5,0,3,2,7,6,3,1,6,2,4,3
6432884,"CHEESE, PEPPER JACK SLICED .75 OZ TWIN PACK REF",9,7,6,5,3,4,1,6,4,2,4,4,5,3,1,6,0,3,1,6,4,3,5,,5,3,,5,6,0,0,5,2,8,5,4,0,8,6,5,4,2,7,5,3,2,7
2466128,"CHEESE, SWISS SLICED 120 COUNT PROCESSED REF",0.75,3,2,2,1,4,3,3,2,0,1,3,2,4,6,5,4,3,2,6,4,4,3,3,1,4,,4,4,5,4,3,3,2,6,5,3,3,3,2,6,5,4,4,2,1,4
7328537,"DRESSING, BLUE CHEESE CHUNKY REF PLASTIC JAR POURABLE",1.75,1.5,1,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0.5,1,0.75,,1,1.25,1,1,1,1,0.25,1,1,1,1,1,1,0.75,1,0,0.75,1.25,1,1,1,0,1
3328713,"DRESSING, 1000 ISLAND SHELF STABLE PLASTIC JAR TRADITIONAL",2,2.5,1,1,1,1,1,1,1,1,1,1.5,1,2,2,1,1,1,1,1,1,1,0.75,1,1,1,,1,1,1,0.75,1,1,0.25,1,1,1,1,1,1,1,1,1,1,1,0.5,1
8329062,"DRESSING, FRENCH ORANGE TFF PLASTIC JAR SHELF STABLE",2.5,2.5,2,2,1,2,2,3,2,1,3,2,2,2,2,2,2,2,2,2,2,1,2,1.25,2,1.5,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1.25,1,1,1.25,1,1
3213469,"DRESSING, HONEY MUSTARD SWEET REF PLASTIC JAR",1,1,1,0,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,,2,1,1,1,1,1,1,1,1,0,1,1,1,1.25,1,1,0.5,1,1,1,1,0.5,0.5
1328608,"DRESSING, COLESLAW CREAMY SHELF STABLE PLASTIC JAR",1,1,1,0,4,3,3,2,2,3,3,4,3,3,2,2,3,2,3,1,2,2,2,2,1,2,1.5,2,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1.25,0
5328406,"DRESSING, RANCH BUTTERMILK REF PLASTIC JAR HOMESTYLE",15.5,6,12,6,10,4,6,8,13,0,11,10,7,15,8,7,12,6,9,12,11,6,7,8,8,11,11,6,10,7,8,6,9,1,14,8,7,9,4,9,6,7,11,10,10,5,13
8025207,"CHICKEN, GIZZARD BONELESS RAW FROZEN",6,6,5,4,4,4,4,4,8,8,6,6,4,4,4,2,2,2,0,6,6,4,4,3,2,0,4,10,6,8,64,4,4,,6,4,4,2,,6,4,3,,7,5,4,4
8366296,"SURIMI, IMITATION CRABMEAT CHUNK and FLAKE COOKED FROZEN VALUE MSC DOMESTIC",8,1.5,6,4,4,4,4,2,0,6,6,6,6,4,4,4,4,2,0.5,6,1,4,4,4,4,2,4,,4,4,4,2,4,,,4,4,2,2,2,2,1,2,0,0.5,2,2
3138880,"SAUSAGE, CHORIZO PORK GROUND RAW FROZEN",0,1,2,2,2,2,2,2,1,0,2,2,0,2,2,2,2,2,2,2,1,2,3,2,2,1,1,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
1017127,"HAM, BONELESS BUFFET NATURAL-JUICE HARDWOOD SMOKED COOKED REF BAG 3-DIAMOND",0,1,1,0,0,2,1,1,1,0,1,0,2,1,1,1,1,0,2,1,0,2,2,1,,3,2,1,1,1,0,2,2,1,1,1,,2,2,1,1,1,,0,1,0,2
