0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/7/2026,1/11/2026,1/14/2016,1/18/2026,1/21/2026,1/28/2026,2/1/2026,2/7/2026,2/11/2026,2/15/2026,2/18/2026,2/22/2026,2/25/2026,3/1/2026,3/4/2026,3/8/2026,3/10/2026,3/15/2026,3/18/2026,3/22/2026,3/25/2026,3/29/2026,4/1/2026,4/5/2026,4/7/2026,4/10/2026,4/11/2026,4/15/2026,4/19/2026,4/22/2026
Product #,Product Name,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity
8327249,"CHEESE, PROVOLONE LOG PLASTIC WRAPPED REF",1,0,1,1,1,0,0,1,0,1,0.5,0,1,1,,1,1,0,1,0,1,0,1,1,1,1,0,0,,1
3340510,"CHEESE, AMERICAN SLICED 120 COUNT TFF PROCESSED YELLOW REF",1,7,6,5,4,2,4,2,5,3,2,5,3,1,3,2,4,3,1,4,3,1,4,2,2,5,5,3,2,6
5332630,"CHEESE, CHEDDAR MILD SHRED FEATHER YELLOW REF",7,6,6,6,6,1,4,4,3,5,7,2,7,1,6,5,6,5,4,10,4,2,6,4,5,5,5,4,6,6
6419501,"CHEESE, CHEDDAR YELLOW MILD SLICED .75 OZ TWIN PACK REF",8,7,6,6,3,1,6,3,3,2,6,4,3,1,6,3,2,6,5,4,3,1,6,4,3,2,2,6,5,3
6432884,"CHEESE, PEPPER JACK SLICED .75 OZ TWIN PACK REF",8,7,6,6,4,2,6,6,3,2,7,6,5,2,8,7,5,4,2,7,6,5,3,2,7,6,6,4,3,2
2466128,"CHEESE, SWISS SLICED 120 COUNT PROCESSED REF",1,4,3,3,2,2,1,4,4,4,2,1,5,5,4,3,3,2,1,4,5,4,3,3,3,2,2,1,3,4
7328537,"DRESSING, BLUE CHEESE CHUNKY REF PLASTIC JAR POURABLE",1,1.5,1,1,0.75,0.25,1,1,0.75,1.25,1.25,1,0.75,2,1.5,1,1.5,1,1.25,1,1,1,1,0.5,1,1,1,1,1,1
3328713,"DRESSING, 1000 ISLAND SHELF STABLE PLASTIC JAR TRADITIONAL",1,1.5,1,1,1.25,1.25,1,1,1,1.1,0.75,1.5,1.75,2,1.5,1,1.5,1,1.25,1,1,1,1,1,1,1,1,1,,1.5
8329062,"DRESSING, FRENCH ORANGE TFF PLASTIC JAR SHELF STABLE",3,2,3,3,2.75,4,3,2.75,2,3,2.5,2.5,2.75,2,2,2,2.5,2,2.25,2,2,2,2,2,2,2,2,2,2,2.25
3213469,"DRESSING, HONEY MUSTARD SWEET REF PLASTIC JAR",1,0.5,1,1,0.5,0.5,1,0.25,1,0.25,0,1,1,2,1.5,0.75,1.5,0.5,0,1.25,1,1.25,1,1,1,1,1,1,1,3
1328608,"DRESSING, COLESLAW CREAMY SHELF STABLE PLASTIC JAR",3,3,3,2,2.5,2,2,1.25,2,1,1.5,1,0.75,3,2.5,2,2.25,2,2.25,0.75,2,1,1,1,1,1,1,0,4,3
5328406,"DRESSING, RANCH BUTTERMILK REF PLASTIC JAR HOMESTYLE",5,8,5,6,6,0,7,4,4,7,4,7,3.25,2,6,4,4,3,6.25,4,3,4,4,6,8,7,8,4,5,8
8025207,"CHICKEN, GIZZARD BONELESS RAW FROZEN",2,1,6,6,6,3,2,2,6,6,5,3,1,0,4,2,8,6,4,4,2,6,6,6,4,2,2,8,5,4
8366296,"SURIMI, IMITATION CRABMEAT CHUNK and FLAKE COOKED FROZEN VALUE MSC DOMESTIC",-,-,-,-,-,-,-,0,0,0,-,-,0,,,,-,-,-,-,,-,,,0,,,0,-,-
3138880,"SAUSAGE, CHORIZO PORK GROUND RAW FROZEN",1,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
1017127,"HAM, BONELESS BUFFET NATURAL-JUICE HARDWOOD SMOKED COOKED REF BAG 3-DIAMOND",1,1,0,0,0,0,1,1,0,1,1,0,2,2,1,1,0,1,1,0,2,1,1,1,1,,,2,1,1
616400,"ROLL, HOAGIE WHITE 3.5 OZ 8 SLICED COOKED BAKED FROZEN BAG HEARTH SUBMARIN",7,4,0,10,6,2,12,8,8,0,6,4,0,7,6,,9,8,3,1,7,6,4,4,0,12,9,7,6,4
207498,"BREAD, WHEAT BERRY 17 SLICED 11/16 LOAF FROZEN",1,8,8,8,8,5,8,8,8,6,5,8,5,3,8,4,2,8,1,8,8,8,8,6,6,6,6,6,4,5
2633394,"BREAD, RYE MARBLE 17 SLICED 5/8 LOAF BAKED FROZEN",1,8,8,8,8,4,8,7,0,7,6,8,5,3,8,3,,8,8,8,4,8,3,2,0,8,8,8,4,8
4320487,"CHILI, BEEF NO BEAN RTU TUB FROZEN",7,5,4,2,1,6,3,1,5,4,7,1,6,4,3,1,6,4,3,2,1,6,5,3,1,5,5,4,3,2
5602354,"APPETIZER, CHEESE MOZZARELLA BREADED ITALIAN STICK 3.25 TFF RAW FROZEN BAG",1,3,4,1,1.5,8,4,4,0.5,2,0.5,6,6,,1,4,,0,1.4,1.75,1,4,4,1,5,6,4,0,6,4
4182234,"APPETIZER, POTATO PEPPER CHEDDAR BREADED FROZEN SOUTHWESTERN MUNCHER",3,9,6,0.666666667,1.333333333,7,4,7,0.833333333,8,7,5,3,8,6,3,6,3,1.4,2,1.8,12,12,1,14,12,12,10,7,6
3041423,"CORN DOG, ALL-MEAT FROZEN",1.25,1,0.5,0.5,1.5,0.75,0.25,1,1,1,0.5,0,1,,1,0.5,1.25,0.5,1.3,1.5,1,1,0.3,1,0.5,0.5,0.3,1,0.75,1.25
4328910,"HOT DOG, ALL-BEEF 5:1 6 ROLLER GRILL COOKED FROZEN",1,0,0,1,1,0,1,2,0.5,3,3,1,1,2,1,0.5,0.5,2,2,5,0.5,0.5,1,1,1,1,1,1,1,1
2725042,"CHICKEN, WING 1ST-and-2ND-JOINT MEDIUM RAW CVP REF UNFLAVORED",28,22,16,15,10,3,4,3,4,4,1,3,2,5,4,7,6,1,7,3,4,4,7,6,6,5,6,4,5,4
2720977,"CHICKEN, BREAST DOUBLE-LOBE RANDOM BONELESS SKINLESS RAW REF CVP JUMBO",2,1,1,1,1,2,1,1,1,2,0,1,2,1,,2,1,1,1,0,1,3,1,3,1,6,,3,,1
2725661,"Chicken, Breast Double-lobe 6 Oz Boneless Skinless Ref Cvp",1,0.75,2,0.5,1.5,2,1,1,0.25,0.25,0.75,0.25,1,0,1,2,1,0.5,1,0,1,2,1.5,2,1,1,2,1,2,1
5314208,"BEEF, CUTLET SELECT RAW FROZEN",3,1,2,3,2,0,1,2,2,3,1,3,1,2,1,1,3,1,1,2,2,3,3,3,1,3,2,2,1,2
3408822,"BEEF, RIBEYE 112A 2X2 LIP-ON RAW REF VACUUM-PACK",1,1,0,0,2,1,0,0,2,2,1,0,1,3,5,5,5,2,,2,,2,2,1,1,1,1,1,4,4
4558003,"BEEF, PHILLY FLAT RAW 4 OZ FROZEN BAG SLICED SOLUTION ADDED MODERATELY",1,1,1,1,1,0,0,1,2,1,0,2,2,2,1,1,,0,,1,2,1,3,2,1,2,2,0,2,1
2571705,"BEEF, CHUCK SHOULDER CLOD CHOICE ANGUS 114 BONELESS RAW REF",-,-,-,0,-,0,0,0,-,0,0,0,-,,,,,0,,0,,0,,,0,,,0,,0
6740178,"SHRIMP, 41-50 WHITE PEELED-and-DEVEINED TAIL-OFF RAW IQF FROZEN BAG NO-PHOS-A",8,1,3,0.5,1,2,2,4,2,0.4,3,1.6,8,2,2.5,2.4,2,1,1.8,1.2,2,7,1.2,3,2,15,12,1.2,7,0.4
6911663,"PANGASIUS, STRIPED 5-7 OZ FILLET PBO SKINLESS RAW IQF FROZEN FARMED SWAI",1,0,1,2,2,1,1,2,1,1,1,0,4,3,3,1,2,2,2,1,1,1,5,2,2,3,4,3,2,2
4661918,"SHRIMP, 16-20 WHITE PEELED-and-DEVEINED TAIL-ON RAW IMPORTED IQF FROZEN BAG F",0,1.6,2,1.4,3,3.2,0,1,1.166666667,1.4,2,0,4,2,3.5,1.4,2,0.8,1.8,1.2,1,10,1.6,1,2,10,9,7,3,0
1552124,"POTATO, FRENCH-FRY SHOESTRING 1/4 COATED CLEAR EXTRA-LONG-FANCY FROZEN",4,9,4,7,6,3,7,8,10,7,0,8,3,6,5,6,4,6,5,7,4,8,2,8,5,9,8,5,9,3
6083968,"POTATO, TATER NUGGET TFF PARFRIED FROZEN PUFF",7,5,2,6,4,2,4,4,3,4,1,6,4,5,5,5,3,6,2,4,2,5,2,4,2,5,5,1,3,3
7979586,"POTATO, SWEET FRENCH-FRY WAFFLE CUT THIN COATED FROZEN",2,3,1,3,1,1,1,3,2,3,1,1,3,2,2,2,2,1,3,2,2,2,1,2,1.1,3,3,1,2,2
6450068,"HUSH PUPPY, JALAPENO PARFRIED FROZEN BAG APPETIZER",1,0,2,1,3,3,2,1,1,0,1,0,2,1,1,,1,1,1,1,,1,0.3,1,1,0.5,0.5,1,2,2
1633130,"BACON,SLAB #2 CURED",1,1,2,0,0,0.5,2,0,0,0.5,0,0.6,4,2,,1,1.5,0,1,1,,1,1,1,1,2,1,1,2,1
2240046,"BACON, PORK END and PIECE REAL DICED .25 SMOKED CURED COOKED REF GAS FLUSHED",2,1,4,2,1,0,1,1,3,1,2,2,2,,3,1,,5,,3,2,0,4,1,5,5,5,4,3,2
1321470,"BROWNIE, PECAN NOT ICED SHEET 1/2 24 SLICED TRAY FROZEN",0,1,96,96,1,0.5,0,0,24,0,0,96,0.5,96,48,48,1,0,96,24,0,142,1,1,1,1,0.5,0.5,,48
6758940,"ICE CREAM, VANILLA BEAN 15% BUTTERFAT FROZEN PAPER TUB ALL NATURAL",0,0.5,0,1,0.5,0.25,0,1,1,0,0.75,1,0.75,1,,1,0.75,1,1,0,1,1,1,1,1,1,1,1,1,1
766949,"ICE CREAM, CHOCOLATE TUB",2,1.75,1,2,1.75,1,1,1,2,1,1.5,1,1.5,1,1,,1.75,1,0.5,1,1,1,1,1,1,1,0,1,1,1
843771,"TOPPING, WHIPPED NON-DAIRY ULTRA PASTEURIZED AEROSOL REF",4,2,2,0,12,9,5,3,1,3,0,1,8,4,,14,13,9,8,9,4,0,13,11,10,8,10,8,6,13
9487478,"CHEESECAKE, RASPBERRY DONUT 10 14 SLICED TRAY FROZEN CAKE",1,0,1,1,0,1,2,1,2,0,0,1,0,1,1,,,1,0,0,0,1,1,0,0,0,0,0,1,1
755207,"CAKE, LAYER 2 CARROT ICED 9 14 SLICED GRANDMAS BOX FROZEN",1,0,1,1,0,0,0,0,2,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,,0
31765,"CAKE, CHOCOLATE GLAZED 5 OZ SS TRAY PACK FROZEN MOLTEN",1,18,18,9,0,1,18,0,54,27,3,1,0,1,9,,27,36,27,9,1,0,0,1,1,0,0,0,,27
5182720,"BAR MIX, GRENADINE PLASTIC SHELF STABLE COCKTAIL",0,0,0,1,0,0,0,0,0,2,0,1,0,0,12,9,10,11,10,11,11,11,4,11,8,8,8,8,8,6
5308139,"JUICE, CLAMATO DRINK 34% ORIGINAL PET PLASTIC BOTTLE SHELF STABLE",5,4,2,7,6,4,0,12,9,10,9,6,4,2,6,,6,4,3,1,6,0,8,8,7,6,6,4,3,3
4550881,"DRINK, SODA TONIC WATER CANADA DRY PET PLASTIC BOTTLE",1,1,8,8,24,3,5,1,6,4,1,6,1,1,48,24,3,14,16,25,4,20,4,4,4,4,23,4,12,12
4781939,"DRINK, SODA CLUB CANADA DRY PET PLASTIC BOTTLE",2,1,8,8,24,2,48,2,23,23,3,18,4,3,12,16,1,4,6,4,,4,,4,4,4,22,4,24,18
8915027,"STRAW, GIANT 7.75 BLACK UNWRAPPED STANDARD PLASTIC",4,12,2,1,11,11,9,8,9,4,6,5,5,4,3,3,1,1,8,9,8,8,6,6,6,5,7,3,4,2
